1a4v	A	124	CA	A	87	D	(' ', 87, ' ')	 	train_data
1a4v	A	124	CA	A	88	D	(' ', 88, ' ')	 	train_data
1a4v	A	124	CA	A	84	D	(' ', 84, ' ')	 	train_data
1a4v	A	124	CA	A	79	K	(' ', 79, ' ')	 	train_data
1a4v	A	124	CA	A	82	D	(' ', 82, ' ')	 	train_data
1a4v	A	125	CA	A	83	D	(' ', 83, ' ')	 	train_data
1a4v	A	125	CA	A	81	L	(' ', 81, ' ')	 	train_data
1a4v	A	125	CA	A	38	T	(' ', 38, ' ')	 	train_data
1a5t	A	501	ZN	A	59	C	(' ', 59, ' ')	 	train_data
1a5t	A	501	ZN	A	65	C	(' ', 65, ' ')	 	train_data
1a5t	A	501	ZN	A	50	C	(' ', 50, ' ')	 	train_data
1a5t	A	501	ZN	A	62	C	(' ', 62, ' ')	 	train_data
1a73	B	203	ZN	B	132	C	(' ', 132, ' ')	 	train_data
1a73	B	203	ZN	B	134	H	(' ', 134, ' ')	 	train_data
1a73	B	203	ZN	B	125	C	(' ', 125, ' ')	 	train_data
1a73	B	203	ZN	B	138	C	(' ', 138, ' ')	 	train_data
1a73	B	204	ZN	B	41	C	(' ', 41, ' ')	 	train_data
1a73	B	204	ZN	B	105	C	(' ', 105, ' ')	 	train_data
1a73	B	204	ZN	B	110	H	(' ', 110, ' ')	 	train_data
1a73	B	204	ZN	B	100	C	(' ', 100, ' ')	 	train_data
1a8v	B	119	CU	B	3	H	(' ', 0, ' ')	 	train_data
1a8v	B	119	CU	A	50	E	(' ', 47, ' ')	 	train_data
1a8v	B	119	CU	B	2	G	(' ', -1, ' ')	 	train_data
1af6	A	425	MG	B	78	D	(' ', 78, ' ')	 	train_data
1af6	A	425	MG	C	78	D	(' ', 78, ' ')	 	train_data
1af6	A	425	MG	A	78	D	(' ', 78, ' ')	 	train_data
1ag9	B	1000	CA	B	58	Y	(' ', 59, ' ')	 	train_data
1ag9	B	1000	CA	A	66	D	(' ', 67, ' ')	 	train_data
1ag9	B	1000	CA	B	60	E	(' ', 61, ' ')	 	train_data
1aks	A	146	CA	A	54	N	(' ', 72, ' ')	 	train_data
1aks	A	146	CA	A	59	E	(' ', 77, ' ')	 	train_data
1aks	A	146	CA	A	52	E	(' ', 70, ' ')	 	train_data
1aks	A	146	CA	A	62	E	(' ', 80, ' ')	 	train_data
1aks	A	146	CA	A	57	V	(' ', 75, ' ')	 	train_data
1ao0	D	466	SF4	D	382	C	(' ', 382, ' ')	 	train_data
1ao0	D	466	SF4	D	236	C	(' ', 236, ' ')	 	train_data
1ao0	D	466	SF4	D	440	C	(' ', 440, ' ')	 	train_data
1ao0	D	466	SF4	D	437	C	(' ', 437, ' ')	 	train_data
1aor	A	606	FE	A	332	E	(' ', 332, ' ')	 	train_data
1aor	A	606	FE	A	383	H	(' ', 383, ' ')	 	train_data
1aor	A	606	FE	B	332	E	(' ', 332, ' ')	 	train_data
1aor	A	606	FE	B	383	H	(' ', 383, ' ')	 	train_data
